Title,Title_URL,Image,gs_ai_aff,gs_ai_eml,Number,gs_ai_one_int,gs_ai_one_int2,gs_ai_one_int4,,,hi
Mario Cvetković,https://scholar.google.com/citations?hl=en&user=znV5GuIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=znV5GuIAAAAJ&citpid=3,"Assistant Professor, University of Split, Faculty of Electrical Engineering, Mechanical …",Verified email at fesb.hr,477,computational electromagnetics,computational bioelectromagnetics,numerical methods,,,11
Nikola Banduka,https://scholar.google.com/citations?hl=en&user=CgeypL8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=CgeypL8AAAAJ&citpid=3,"University of Split, FESB",Verified email at fesb.hr,476,Industrial Engineering,,,,,7
Toni Perković,https://scholar.google.com/citations?hl=en&user=V3NxDscAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=V3NxDscAAAAJ&citpid=2,"University of Split, FESB unist.hr",Verified email at fesb.hr,475,information security,applied cryptography,networking,,,13
Branko Klarin,https://scholar.google.com/citations?hl=en&user=Kc0LuHwAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=Kc0LuHwAAAAJ&citpid=2,UNIST-FESB,Verified email at fesb.hr,430,mechanical engineering,energy,renewable energy,,,7
Goran Petrović,https://scholar.google.com/citations?hl=en&user=TGDjw0sAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=TGDjw0sAAAAJ&citpid=2,"Professor of electrical engineering, University of Split",Verified email at fesb.hr,413,electrical and process measurements and …,,,,,8
Dario Bezmalinović,https://scholar.google.com/citations?hl=en&user=RCqdn1cAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=RCqdn1cAAAAJ&citpid=2,"Research assistant. University of Split, unist.hr, Faculty of Electrical Engineering, Mechanical …",Verified email at fesb.hr,394,Fuel cells,hydrogen,renewable energy,,,8
Marina Crnjac Zizic,https://scholar.google.com/citations?hl=en&user=7kOsMooAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=7kOsMooAAAAJ&citpid=3,"research assistant, University of Split, Faculty of Electrical engineering Mechanical …",Verified email at fesb.hr,387,operations management,product management,design engineering,,,9
Branimir Lela,https://scholar.google.com/citations?hl=en&user=aaZXKqkAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"unist.hr, University of Split, Faculty of electrical engineering, mechanical engineering and …",Verified email at fesb.hr,380,Metal forming,Metal recycling,Heat treatment,,,8
Josip Maras,https://scholar.google.com/citations?hl=en&user=OGDtCJ8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=OGDtCJ8AAAAJ&citpid=3,"University of Split, FESB unist.hr",Verified email at fesb.hr,371,Reuse,Program analysis,Web,,,12
Maja Stella,https://scholar.google.com/citations?hl=en&user=4zz-g08AAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, Croatia",Verified email at fesb.hr,371,,,,,,9
Mirjana Bonković,https://scholar.google.com/citations?hl=en&user=uRKDVLcAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,University of Split,Verified email at fesb.hr,358,computer vision,robotics,signal processing,,,10
Tamara Grujić,https://scholar.google.com/citations?hl=en&user=iZ3dGucAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=iZ3dGucAAAAJ&citpid=1,"Professor, Faculty of Electrical Engineering, Mechanical Engineering and Naval Architecture …",Verified email at fesb.hr,348,electrical engineering,biomedical engineering,signal processing,,,10
"Anita Matković Split, Croatia",https://scholar.google.com/citations?hl=en&user=a0-pr-gAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=a0-pr-gAAAAJ&citpid=2,"unist.hr, University of Split, FESB",Verified email at fesb.hr,347,Mathematics,,,,,9
Zoran Blažević,https://scholar.google.com/citations?hl=en&user=GYzk-XsAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Full professor, University of Split",Verified email at fesb.hr,328,Radio propagation,antennas,wireless transmission,,,8
Josip Vasilj,https://scholar.google.com/citations?hl=en&user=dtR52rYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=dtR52rYAAAAJ&citpid=2,"Assistant Professor, University of Split",Verified email at fesb.hr,309,power system analysis,renewable energy,Optimization,,,10
Marjan Sikora,https://scholar.google.com/citations?hl=en&user=sOuxIYQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=sOuxIYQAAAAJ&citpid=2,"University of Split, Faculty of Electrical Engineering, Mechanical Engineering and Naval …",Verified email at fesb.hr,304,computer science,GIS,acoustics,,,8
